::1 - - [08/Jun/2025:19:09:15 +0000] "GET /api/tasks/2 HTTP/1.1" 200 248 "-" "PostmanRuntime/7.44.0"
::1 - - [08/Jun/2025:19:09:30 +0000] "GET /api/tasks/1 HTTP/1.1" 404 28 "-" "PostmanRuntime/7.44.0"
::ffff:127.0.0.1 - - [08/Jun/2025:19:15:22 +0000] "GET /api/tasks HTTP/1.1" 200 997 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:15:22 +0000] "POST /api/tasks HTTP/1.1" 201 248 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:15:22 +0000] "GET /api/tasks/undefined HTTP/1.1" 500 419 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:15:23 +0000] "GET /api/tasks/9999 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:15:23 +0000] "PUT /api/tasks/undefined HTTP/1.1" 500 685 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:15:23 +0000] "DELETE /api/tasks/undefined HTTP/1.1" 500 155 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:15:23 +0000] "POST /api/tasks HTTP/1.1" 400 313 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:18:55 +0000] "GET /api/tasks HTTP/1.1" 200 2 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:18:55 +0000] "POST /api/tasks HTTP/1.1" 201 248 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:18:55 +0000] "GET /api/tasks/undefined HTTP/1.1" 500 419 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:18:55 +0000] "GET /api/tasks/9999 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:18:55 +0000] "PUT /api/tasks/undefined HTTP/1.1" 500 685 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:18:55 +0000] "DELETE /api/tasks/undefined HTTP/1.1" 500 155 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:18:55 +0000] "POST /api/tasks HTTP/1.1" 400 313 "-" "-"
::1 - - [08/Jun/2025:19:19:15 +0000] "DELETE /api/tasks/1 HTTP/1.1" 500 223 "-" "PostmanRuntime/7.44.0"
::1 - - [08/Jun/2025:19:19:21 +0000] "DELETE /api/tasks/2 HTTP/1.1" 500 223 "-" "PostmanRuntime/7.44.0"
::1 - - [08/Jun/2025:19:19:26 +0000] "DELETE /api/tasks/4 HTTP/1.1" 500 223 "-" "PostmanRuntime/7.44.0"
::1 - - [08/Jun/2025:19:19:43 +0000] "GET /api/tasks HTTP/1.1" 200 2 "-" "PostmanRuntime/7.44.0"
::ffff:127.0.0.1 - - [08/Jun/2025:19:19:54 +0000] "GET /api/tasks HTTP/1.1" 200 2 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:19:54 +0000] "POST /api/tasks HTTP/1.1" 201 248 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:19:54 +0000] "GET /api/tasks/undefined HTTP/1.1" 500 419 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:19:54 +0000] "GET /api/tasks/9999 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:19:55 +0000] "PUT /api/tasks/undefined HTTP/1.1" 500 685 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:19:55 +0000] "DELETE /api/tasks/undefined HTTP/1.1" 500 155 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:19:55 +0000] "POST /api/tasks HTTP/1.1" 400 313 "-" "-"
::1 - - [08/Jun/2025:19:21:19 +0000] "POST /api/tasks HTTP/1.1" 201 248 "-" "PostmanRuntime/7.44.0"
::1 - - [08/Jun/2025:19:21:52 +0000] "POST /api/tasks HTTP/1.1" 201 249 "-" "PostmanRuntime/7.44.0"
::1 - - [08/Jun/2025:19:22:31 +0000] "GET /api/tasks/10 HTTP/1.1" 200 249 "-" "PostmanRuntime/7.44.0"
::ffff:127.0.0.1 - - [08/Jun/2025:19:23:35 +0000] "GET /api/tasks HTTP/1.1" 200 2 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:23:35 +0000] "POST /api/tasks HTTP/1.1" 201 249 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:23:35 +0000] "GET /api/tasks/11 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:23:35 +0000] "GET /api/tasks/9999 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:23:35 +0000] "PUT /api/tasks/11 HTTP/1.1" 500 452 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:23:36 +0000] "DELETE /api/tasks/11 HTTP/1.1" 500 223 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:23:36 +0000] "POST /api/tasks HTTP/1.1" 400 313 "-" "-"
::1 - - [08/Jun/2025:19:23:57 +0000] "GET /api/tasks/10 HTTP/1.1" 404 28 "-" "PostmanRuntime/7.44.0"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:05 +0000] "GET /api/tasks HTTP/1.1" 200 2 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:05 +0000] "POST /api/tasks HTTP/1.1" 201 249 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:05 +0000] "GET /api/tasks/12 HTTP/1.1" 200 249 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:05 +0000] "GET /api/tasks/9999 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:06 +0000] "PUT /api/tasks/12 HTTP/1.1" 200 244 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:06 +0000] "DELETE /api/tasks/12 HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:06 +0000] "GET /api/tasks/12 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:06 +0000] "POST /api/tasks HTTP/1.1" 400 313 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:30 +0000] "GET /api/tasks HTTP/1.1" 200 2 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:31 +0000] "POST /api/tasks HTTP/1.1" 201 249 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:31 +0000] "GET /api/tasks/13 HTTP/1.1" 200 249 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:31 +0000] "GET /api/tasks/9999 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:31 +0000] "PUT /api/tasks/13 HTTP/1.1" 200 244 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:32 +0000] "DELETE /api/tasks/13 HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:32 +0000] "GET /api/tasks/13 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:25:32 +0000] "POST /api/tasks HTTP/1.1" 400 313 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:26:22 +0000] "GET /api/tasks HTTP/1.1" 200 2 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:26:23 +0000] "POST /api/tasks HTTP/1.1" 201 249 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:26:23 +0000] "GET /api/tasks/14 HTTP/1.1" 200 249 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:26:23 +0000] "GET /api/tasks/9999 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:26:23 +0000] "PUT /api/tasks/14 HTTP/1.1" 200 244 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:26:24 +0000] "DELETE /api/tasks/14 HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:26:24 +0000] "GET /api/tasks/14 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:26:24 +0000] "POST /api/tasks HTTP/1.1" 400 313 "-" "-"
::1 - - [08/Jun/2025:19:26:31 +0000] "GET /api/tasks HTTP/1.1" 200 2 "-" "PostmanRuntime/7.44.0"
::ffff:127.0.0.1 - - [08/Jun/2025:19:40:45 +0000] "GET /api/tasks HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:40:45 +0000] "POST /api/tasks HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:40:45 +0000] "GET /api/tasks/undefined HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:40:45 +0000] "GET /api/tasks/9999 HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:40:45 +0000] "PUT /api/tasks/undefined HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:40:45 +0000] "DELETE /api/tasks/undefined HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:40:45 +0000] "POST /api/tasks HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:42:17 +0000] "GET /api/tasks HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:42:17 +0000] "POST /api/tasks HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:42:17 +0000] "GET /api/tasks/undefined HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:42:17 +0000] "GET /api/tasks/9999 HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:42:17 +0000] "PUT /api/tasks/undefined HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:42:17 +0000] "DELETE /api/tasks/undefined HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:42:17 +0000] "POST /api/tasks HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:44:27 +0000] "GET /api/tasks HTTP/1.1" 200 2 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:44:28 +0000] "POST /api/tasks HTTP/1.1" 201 249 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:44:28 +0000] "GET /api/tasks/15 HTTP/1.1" 200 249 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:44:28 +0000] "GET /api/tasks/9999 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:44:28 +0000] "PUT /api/tasks/15 HTTP/1.1" 200 244 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:44:29 +0000] "DELETE /api/tasks/15 HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:44:29 +0000] "GET /api/tasks/15 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:44:29 +0000] "POST /api/tasks HTTP/1.1" 401 38 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:45:04 +0000] "GET /api/tasks HTTP/1.1" 200 2 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:45:04 +0000] "POST /api/tasks HTTP/1.1" 201 249 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:45:04 +0000] "GET /api/tasks/16 HTTP/1.1" 200 249 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:45:04 +0000] "GET /api/tasks/9999 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:45:04 +0000] "PUT /api/tasks/16 HTTP/1.1" 200 244 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:45:05 +0000] "DELETE /api/tasks/16 HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:45:05 +0000] "GET /api/tasks/16 HTTP/1.1" 404 28 "-" "-"
::ffff:127.0.0.1 - - [08/Jun/2025:19:45:05 +0000] "POST /api/tasks HTTP/1.1" 400 313 "-" "-"
